iter	RMSE
0	11.77486479
1	11.2684327
2	10.78425915
3	10.31834971
4	9.867097897
5	9.457917711
6	9.05703704
7	8.689372626
8	8.333429655
9	7.980394156
10	7.654195411
11	7.350138103
12	7.046312337
13	6.765577521
14	6.496218379
15	6.240287313
16	6.007482858
17	5.778195325
18	5.570180417
19	5.359852203
20	5.166266523
21	4.98045032
22	4.817176586
23	4.640059837
24	4.480518667
25	4.333014891
26	4.196525868
27	4.065959325
28	3.941060864
29	3.818091902
30	3.712093694
31	3.607873667
32	3.504153346
33	3.41025174
34	3.326335951
35	3.241851498
36	3.165433728
37	3.091944019
38	3.023816982
39	2.958573944
40	2.902354358
41	2.850314475
42	2.799323926
43	2.755088021
44	2.713119275
45	2.676001713
46	2.641213766
47	2.604529004
48	2.572334757
49	2.54171479
50	2.517583026
51	2.489936211
52	2.46833499
53	2.447975098
54	2.428563278
55	2.409912929
56	2.391541459
57	2.37515403
58	2.362324315
59	2.347720611
60	2.333065886
61	2.320188227
62	2.308572767
63	2.297701283
64	2.287034166
65	2.27679328
66	2.268718899
67	2.259438215
68	2.252302702
69	2.245663092
70	2.238944582
71	2.233285722
72	2.227390669
73	2.22216786
74	2.217534105
75	2.2138868
76	2.209593969
77	2.205616334
78	2.201347112
79	2.19808214
80	2.194326274
81	2.190892639
82	2.188176955
83	2.185478167
84	2.182627732
85	2.180092292
86	2.177237161
87	2.175070164
88	2.172676043
89	2.170683562
90	2.16782612
91	2.165988604
92	2.163616568
93	2.161646081
94	2.159410733
95	2.157765183
96	2.155114284
97	2.153368965
98	2.151370603
99	2.149185426
100	2.147206145
101	2.1453087
102	2.143433085
103	2.141559635
104	2.139545181
105	2.138585979
106	2.137131764
107	2.135358409
108	2.133310864
109	2.132140796
110	2.131108015
111	2.129034791
112	2.127662125
113	2.126739482
114	2.125010594
115	2.123496532
116	2.122126678
117	2.120760221
118	2.119029417
119	2.116718113
120	2.115466707
121	2.114392952
122	2.112150622
123	2.111009024
124	2.109792926
125	2.107971524
126	2.106355455
127	2.105490688
128	2.103454694
129	2.102197148
130	2.100396218
131	2.09892222
132	2.097634846
133	2.095398756
134	2.094240643
135	2.093462396
136	2.091817764
137	2.090754212
138	2.089175081
139	2.087669126
140	2.085652552
141	2.084350656
142	2.083279988
143	2.082732644
144	2.08175357
145	2.080321012
146	2.078433431
147	2.077331806
148	2.075839035
149	2.075036144
150	2.073984255
151	2.073041106
152	2.071351777
153	2.070431631
154	2.069270372
155	2.068121798
156	2.066857365
157	2.06570702
158	2.063225959
159	2.062017146
160	2.06018675
161	2.058871244
162	2.057468914
163	2.055770642
164	2.05395654
165	2.052205303
166	2.0497149
167	2.047840757
168	2.046396376
169	2.045198894
170	2.04362567
171	2.042024817
172	2.039902117
173	2.039187025
174	2.038206319
175	2.037147825
176	2.035623501
177	2.034542203
178	2.033599618
179	2.032673434
180	2.031131173
181	2.028520509
182	2.027747677
183	2.026814492
184	2.025246158
185	2.023568044
186	2.022597736
187	2.021442708
188	2.01940963
189	2.018505684
190	2.017863434
191	2.016547795
192	2.015497595
193	2.014071208
194	2.013152002
195	2.012359611
196	2.010855656
197	2.009802642
198	2.008996118
199	2.007052764
200	2.006368059
201	2.005147016
202	2.003674913
203	2.002301305
204	1.999754302
205	1.997845207
206	1.996438406
207	1.994233633
208	1.992985721
209	1.99241069
210	1.991536105
211	1.98995534
212	1.987204394
213	1.985768303
214	1.984513922
215	1.982421351
216	1.981684596
217	1.980938339
218	1.980401068
219	1.979332474
220	1.977430699
221	1.976147093
222	1.974085654
223	1.972487065
224	1.971437933
225	1.970237095
226	1.969119384
227	1.968132233
228	1.966082831
229	1.964941143
230	1.963488765
231	1.962921981
232	1.961830891
233	1.960955898
234	1.959683965
235	1.958899907
236	1.957881155
237	1.957115927
238	1.955402406
239	1.953254767
240	1.951343694
241	1.949734213
242	1.948489706
243	1.946805635
244	1.945546982
245	1.944784493
246	1.944102928
247	1.942140218
248	1.941278413
249	1.939881179
250	1.938048331
251	1.937451922
252	1.936070191
253	1.934796207
254	1.933358337
255	1.932076436
256	1.931414219
257	1.930187751
258	1.927896741
259	1.926324803
260	1.924813053
261	1.923208683
262	1.92272252
263	1.920970046
264	1.919840161
265	1.918990701
266	1.917830484
267	1.916844276
268	1.915264073
269	1.913355508
270	1.911885696
271	1.910509211
272	1.909854253
273	1.90907442
274	1.907242424
275	1.905999646
276	1.904173759
277	1.902974392
278	1.901780758
279	1.900468871
280	1.899534609
281	1.898425395
282	1.897479831
283	1.896143918
284	1.895572009
285	1.893407383
286	1.891471335
287	1.89008309
288	1.888389422
289	1.887563436
290	1.886065332
291	1.884930781
292	1.883533557
293	1.882348629
294	1.88139978
295	1.8806921
296	1.879309831
297	1.878510525
298	1.877272426
299	1.876674961
