iter	Passed	Remaining
0	146	43747
1	152	22697
2	156	15524
3	162	12017
4	167	9862
5	172	8435
6	178	7458
7	182	6675
8	187	6047
9	192	5578
10	195	5141
11	200	4814
12	206	4551
13	210	4297
14	214	4075
15	219	3903
16	225	3747
17	228	3584
18	237	3513
19	245	3438
20	252	3356
21	256	3240
22	260	3138
23	265	3052
24	269	2962
25	273	2886
26	281	2847
27	290	2825
28	302	2826
29	309	2782
30	315	2736
31	319	2678
32	323	2616
33	327	2561
34	329	2497
35	334	2452
36	338	2406
37	343	2365
38	347	2327
39	352	2289
40	356	2254
41	361	2219
42	366	2191
43	370	2155
44	374	2120
45	379	2093
46	382	2059
47	385	2025
48	389	1993
49	395	1977
50	397	1939
51	400	1911
52	404	1886
53	409	1867
54	413	1842
55	417	1817
56	420	1792
57	424	1770
58	428	1748
59	431	1726
60	436	1709
61	439	1687
62	443	1666
63	446	1647
64	450	1629
65	455	1613
66	460	1601
67	466	1591
68	472	1580
69	477	1568
70	481	1552
71	484	1534
72	488	1519
73	492	1503
74	495	1486
75	499	1472
76	503	1457
77	506	1442
78	510	1428
79	520	1432
80	528	1429
81	534	1421
82	539	1411
83	543	1398
84	548	1387
85	552	1375
86	557	1364
87	561	1353
88	567	1344
89	570	1331
90	574	1319
91	578	1307
92	583	1298
93	587	1286
94	590	1275
95	594	1263
96	598	1253
97	602	1242
98	606	1231
99	610	1220
100	613	1209
101	617	1198
102	621	1188
103	625	1179
104	629	1168
105	634	1161
106	639	1153
107	643	1144
108	647	1133
109	650	1123
110	654	1114
111	658	1105
112	663	1097
113	666	1087
114	671	1080
115	676	1073
116	682	1067
117	687	1060
118	691	1051
119	696	1044
120	702	1038
121	707	1031
122	711	1023
123	715	1015
124	720	1008
125	724	999
126	729	993
127	733	985
128	737	977
129	741	969
130	746	962
131	750	954
132	753	946
133	760	941
134	765	935
135	771	929
136	778	926
137	783	920
138	788	912
139	792	905
140	796	897
141	800	890
142	804	883
143	808	875
144	812	868
145	815	860
146	820	854
147	824	846
148	828	839
149	832	832
150	836	825
151	839	817
152	844	811
153	849	805
154	853	798
155	860	793
156	866	789
157	873	785
158	880	781
159	888	777
160	893	771
161	899	765
162	904	760
163	909	754
164	914	748
165	922	744
166	929	740
167	934	734
168	939	728
169	945	723
170	951	717
171	956	711
172	965	708
173	973	704
174	980	700
175	987	696
176	994	691
177	1002	687
178	1010	682
179	1017	678
180	1023	672
181	1049	680
182	1058	677
183	1067	673
184	1075	668
185	1093	669
186	1101	665
187	1111	662
188	1127	662
189	1136	658
190	1146	654
191	1157	651
192	1164	645
193	1172	640
194	1180	635
195	1187	630
196	1194	624
197	1200	618
198	1206	612
199	1213	606
200	1217	599
201	1224	594
202	1230	588
203	1239	583
204	1248	578
205	1254	572
206	1260	566
207	1266	560
208	1271	553
209	1275	546
210	1280	539
211	1285	533
212	1289	526
213	1295	520
214	1299	513
215	1304	507
216	1308	500
217	1312	493
218	1317	487
219	1321	480
220	1325	473
221	1330	467
222	1334	460
223	1338	454
224	1341	447
225	1347	441
226	1351	434
227	1356	428
228	1360	421
229	1364	415
230	1368	408
231	1372	402
232	1377	396
233	1382	390
234	1388	383
235	1392	377
236	1399	371
237	1405	366
238	1411	360
239	1414	353
240	1419	347
241	1422	341
242	1426	334
243	1430	328
244	1435	322
245	1439	315
246	1444	309
247	1448	303
248	1452	297
249	1457	291
250	1463	285
251	1468	279
252	1474	273
253	1481	268
254	1487	262
255	1493	256
256	1501	251
257	1507	245
258	1516	240
259	1524	234
260	1533	229
261	1540	223
262	1546	217
263	1552	211
264	1558	205
265	1564	199
266	1575	194
267	1581	188
268	1588	183
269	1595	177
270	1600	171
271	1605	165
272	1612	159
273	1619	153
274	1626	147
275	1636	142
276	1644	136
277	1652	130
278	1658	124
279	1663	118
280	1668	112
281	1673	106
282	1677	100
283	1685	94
284	1690	88
285	1696	83
286	1701	77
287	1705	71
288	1711	65
289	1719	59
290	1725	53
291	1734	47
292	1740	41
293	1745	35
294	1750	29
295	1755	23
296	1760	17
297	1764	11
298	1769	5
299	1773	0
